dataset_id,group,value
D1,A,11.201181246538
D1,A,13.118106326589562
D1,A,6.816240935643513
D1,A,10.938666061582774
D1,A,10.904244505876134
D1,A,11.43497384833839
D1,A,10.443108732217974
D1,A,10.433956453090698
D1,A,10.840269244208256
D1,A,6.310096545200196
D1,B,10.03271375500336
D1,B,8.568289622154317
D1,B,7.7843296494770895
D1,B,13.2057685202174
D1,B,10.074865960617117
D1,B,8.196638964189113
D1,B,9.544825662545234
D1,B,10.272133163619543
D1,B,13.9862715934123
D1,B,8.6907229871901
D2,A,8.479535417764614
D2,A,12.949036491362657
D2,A,10.8611318769099
D2,A,11.909271524039868
D2,A,10.978380324876811
D2,A,11.034808770420351
D2,A,9.219690086983027
D2,A,8.527731664252988
D2,A,9.891663503243851
D2,A,10.034663082719696
D2,B,8.440829057303286
D2,B,12.45714993100899
D2,B,14.333611792750535
D2,B,12.248879043257514
D2,B,8.274961893985145
D2,B,11.205059545407668
D2,B,9.837438487166903
D2,B,11.571094241985184
D2,B,9.220352976279548
D2,B,10.628338385047275
D3,A,12.71201011128087
D3,A,19.47404000439536
D3,A,3.8034178546183774
D3,A,4.932114460258036
D3,A,12.161297269833982
D3,A,9.116043956480466
D3,A,6.307656069497515
D3,A,6.0390215698355725
D3,A,7.633495177278246
D3,A,2.575858416165686
D3,B,7.55237338273237
D3,B,8.471978643367136
D3,B,8.842467855938741
D3,B,5.696334881639649
D3,B,12.076890482073486
D3,B,7.9691108494612415
D3,B,9.136278551040931
D3,B,13.009586848588487
D3,B,14.309408280735546
D3,B,10.25713142939944
D4,A,9.000467673776155
D4,A,9.070183877887608
D4,A,11.496355045562455
D4,A,14.7706418244181
D4,A,11.719871267973284
D4,A,11.64974136113056
D4,A,10.950533003321016
D4,A,10.401154072691407
D4,A,9.59573299278302
D4,A,8.780253512609264
D4,B,17.756208447427213
D4,B,10.759136284986067
D4,B,8.119245920136356
D4,B,10.666389859670845
D4,B,10.533966510057084
D4,B,6.466566280628827
D4,B,11.041174044178046
D4,B,17.282085022393314
D4,B,10.594733582563757
D4,B,9.905802763208621
D5,A,11.073101949200876
D5,A,9.637036478520306
D5,A,9.610983673133802
D5,A,11.005921889971459
D5,A,6.989044514332225
D5,A,11.958224889818375
D5,A,11.584645306540953
D5,A,11.815960388276352
D5,A,9.743024122693768
D5,A,6.162303338096185
D5,B,13.095610031779508
D5,B,5.649498774551704
D5,B,12.493183364163244
D5,B,10.05808245901128
D5,B,12.50289418012605
D5,B,11.647833874950425
D5,B,9.120073160004429
D5,B,9.823266772422553
D5,B,12.991554784938412
D5,B,8.861735454884661
D6,A,10.410200703465824
D6,A,20.54338457455316
D6,A,10.84787346516429
D6,A,6.022465562481601
D6,A,8.803319066991182
D6,A,7.164246025049088
D6,A,10.871854948752212
D6,A,5.005755469226151
D6,A,9.8837368340063545
D6,A,5.575291017509782
D6,B,14.48440810521312
D6,B,-0.6395207715996261
D6,B,8.616385195467819
D6,B,11.754235118092517
D6,B,15.231091730809739
D6,B,14.377262231593804
D6,B,13.096622943391434
D6,B,8.710345386440984
D6,B,13.91736738118713
D6,B,7.963153589037234
D7,A,10.810797007108555
D7,A,11.550937051489681
D7,A,8.964807146116739
D7,A,8.012498974575571
D7,A,8.708064005820495
D7,A,6.566803893296618
D7,A,10.411515907583556
D7,A,6.686494069011882
D7,A,12.04321078218723
D7,A,9.866394370715867
D7,B,12.790937525270943
D7,B,15.61414268570721
D7,B,13.54109856010027
D7,B,9.648696557237145
D7,B,13.273641992755511
D7,B,11.98967140780363
D7,B,10.89522900439928
D7,B,14.564693475698922
D7,B,11.217995262716407
D7,B,9.029791398480189
D8,A,12.05689101470324
D8,A,10.214935867340468
D8,A,9.32564381356109
D8,A,6.457743295311424
D8,A,8.563211603785925
D8,A,5.525179340378867
D8,A,13.992462319311336
D8,A,10.13107589983189
D8,A,9.18651505402787
D8,A,10.540283504243957
D8,B,11.654477523787746
D8,B,13.995656867597766
D8,B,9.966084430129168
D8,B,11.403054294112028
D8,B,12.110453281757245
D8,B,6.942908032734065
D8,B,10.33952631553428
D8,B,10.171085265078212
D8,B,10.576847322734313
D8,B,11.501975283738007
